trialNum,onsetIdx,offsetIdx,amplitude (DVA),direction (deg),max velocity
1,209,214,0.233958165,100.6412333,16.41318415
2,210,220,0.229891331,267.5957408,15.02000899
3,175,182,0.253932509,111.8008011,13.90423735
4,54,61,0.301555345,90.01070118,18.8639568
4,86,94,0.384045688,267.1472521,22.52997993
4,267,278,0.472710353,-51.67755069,29.91695662
5,36,42,0.359644654,253.0591887,22.25859786
5,191,196,0.277790415,-69.79195042,17.77387019
6,58,64,0.397140687,-69.18238607,24.37857683
6,127,134,0.418097053,79.55832261,23.68004046
6,171,181,0.373842617,248.9821917,24.40307407
8,161,170,0.315261667,167.9249595,21.17030009
9,124,133,0.35917713,-38.71332667,22.97565413
9,193,201,0.264386561,20.85820867,18.95036234
9,242,250,0.330807941,174.0787351,19.25918602
10,29,34,0.395396772,-51.22562528,25.59933936
10,192,199,0.376524993,104.2081485,20.9142494
11,131,141,0.457811822,-79.45966039,28.20722159
11,198,203,0.240394509,83.96852864,14.99044263
12,9,13,0.192203545,182.0681015,13.32594769
12,96,102,0.296474194,60.54471737,19.31140282
12,185,196,0.47713629,173.0610722,29.24576067
12,253,258,0.195227153,101.5795963,12.94407734
13,31,41,0.37080516,254.3043051,24.37654504
13,113,120,0.187250862,54.56490986,10.56022627
13,205,213,0.364467679,125.5936411,17.76961813
14,9,13,0.173371305,196.3690275,12.05878436
14,109,118,0.335129784,83.52018031,16.90362473
14,146,151,0.222839772,223.0888306,13.93017607
14,255,263,0.252541824,160.8927048,13.40952488
15,36,42,0.217367547,165.7861324,14.1513309
15,152,157,0.301101346,232.1836186,19.92497162
15,208,216,0.225595346,79.34227927,11.07707045
17,102,112,0.266130588,192.1324488,17.02841595
17,226,232,0.300192408,-49.98255094,18.88647418
18,49,54,0.250660937,228.044574,15.99537064
18,266,274,0.263982341,149.0523048,16.78663759
20,36,42,0.40002658,233.7089488,27.25596741
20,101,111,0.490388169,255.2700712,30.99937096
20,240,247,0.483701813,112.169754,24.05730242
21,127,132,0.233473763,174.8304323,16.87567849
21,230,238,0.270276288,107.6133026,14.07066458
22,43,52,0.338119654,-50.47721975,21.35624961
22,101,106,0.281253805,174.4634964,17.90783359
22,221,226,0.374679254,142.9722908,23.00517384
23,33,40,0.311993458,79.15932706,18.61669402
23,161,167,0.214544015,-66.36599555,11.27220735
23,241,249,0.294286971,117.5796015,17.09039347
24,34,40,0.441000022,141.1562116,27.62950538
25,78,87,0.359922673,1.590294897,24.98833767
25,149,152,0.15429428,245.7901159,12.12445969
25,237,241,0.170236504,140.855615,11.9659832
26,42,49,0.211137849,198.2607873,15.08311717
26,115,120,0.311559997,240.7357793,20.9219911
26,271,277,0.26844794,132.6543114,17.58068625
27,228,237,0.419617128,231.8824549,26.75893978
28,41,50,0.459098601,-80.29597436,30.25975523
28,130,135,0.262607324,100.2823493,16.87823456
28,246,254,0.29504194,95.88869082,18.90277599
29,217,225,0.723195033,131.2745306,36.1167353
30,63,72,0.278807519,151.2022391,17.87343249
30,173,178,0.261863279,201.0450298,16.50048633
30,212,216,0.127743563,-39.57510357,10.11378881
31,33,41,0.277536137,262.2686826,15.82426193
31,225,233,0.36383298,121.6738118,19.81771715
32,60,70,0.451161877,251.2109057,29.71484172
32,123,129,0.382363694,126.0647494,24.91043022
32,205,209,0.174466764,127.4332518,11.22903012
33,38,45,0.37844685,102.0043349,18.04514299
33,90,96,0.509856673,-67.61905177,34.68357102
34,37,42,0.413095538,169.059636,28.34618605
35,63,69,0.356973639,112.8389562,22.58864764
35,141,151,0.368208406,193.1992547,24.12692087
36,46,55,0.423735929,-74.83946493,26.7512934
36,116,123,0.452655798,229.5587998,28.30222057
36,152,158,0.311964641,76.70311793,19.24231867
37,168,176,0.233418783,184.9412782,15.63014599
37,222,228,0.329694995,113.119355,19.01576636
38,53,58,0.340467934,129.5115848,22.92010436
38,176,188,0.320449409,265.0766392,19.14949204
38,258,262,0.22375793,214.3337848,15.42552635
39,161,166,0.248563198,107.7067421,15.11925735
39,249,257,0.396816058,141.449198,24.28872272
40,-1,4,0.344122599,160.1627478,22.32302109
40,88,92,0.191887331,149.9605169,14.4057068
40,160,169,0.382323254,179.0273446,25.03539307
40,215,223,0.281387746,71.32629225,17.81223187
41,70,80,0.433560783,238.5775542,27.87441813
41,148,155,0.375488433,85.66902234,22.23855692
42,2,9,0.310074814,29.53463714,18.91099642
42,104,114,0.678198388,-46.97786457,40.84887625
42,165,172,0.497337996,113.6189238,30.93663389
42,236,240,0.218114819,166.340164,14.30234399
